Time,Weight,Change,BMI,Body Fat,Skeletal Muscle Mass,Bone Mass,Body Water,
" 27 Oct 2025",
05:59,64.9 kg,0.6 kg,20.3,16.3 %,27.5 kg,3.5 kg,61.1 %,
" 25 Oct 2025",
07:47,64.3 kg,0.3 kg,20.1,16 %,27.4 kg,3.5 kg,61.3 %,
" 22 Oct 2025",
05:44,64.6 kg,0.0 kg,20.2,13.1 %,27.4 kg,3.7 kg,63.4 %,
" 21 Oct 2025",
05:58,64.6 kg,0.3 kg,20.1,14.1 %,27.4 kg,3.6 kg,62.7 %,
" 20 Oct 2025",
06:06,64.3 kg,0.3 kg,20.1,14.9 %,27.4 kg,3.5 kg,62.1 %,
" 17 Oct 2025",
05:59,64.0 kg,0.1 kg,20,15.7 %,27.3 kg,3.5 kg,61.5 %,
" 16 Oct 2025",
05:56,64.1 kg,0.4 kg,20,14.8 %,27.3 kg,3.5 kg,62.2 %,
" 15 Oct 2025",
05:58,63.7 kg,0.8 kg,19.9,14.7 %,27.2 kg,3.5 kg,62.3 %,
" 14 Oct 2025",
05:59,64.5 kg,0.1 kg,20.1,15.6 %,27.4 kg,3.5 kg,61.6 %,
" 13 Oct 2025",
06:01,64.4 kg,1.1 kg,20.1,14.9 %,27.4 kg,3.5 kg,62.1 %,
" 10 Oct 2025",
06:13,63.3 kg,1.0 kg,19.8,14.1 %,27.1 kg,3.5 kg,62.7 %,
" 22 Sep 2025",
06:12,62.3 kg,0.9 kg,19.5,7.3 %,26.9 kg,3.8 kg,67.7 %,
" 30 Aug 2025",
06:49,63.2 kg,0.6 kg,19.7,10.9 %,27.1 kg,3.7 kg,65.1 %,
" 17 Aug 2025",
07:00,63.8 kg,1.0 kg,19.9,11.9 %,27.2 kg,3.7 kg,64.3 %,
" 15 Aug 2025",
06:04,62.8 kg,0.2 kg,19.6,10.8 %,27.0 kg,3.7 kg,65.1 %,
" 13 Aug 2025",
06:00,63.0 kg,1.7 kg,19.7,11.7 %,27.0 kg,3.6 kg,64.4 %,
" 11 Aug 2025",
06:33,64.7 kg,2.4 kg,20.2,13.6 %,27.5 kg,3.6 kg,63.0 %,
" 2 Jul 2025",
05:18,62.3 kg,0.1 kg,19.4,7.3 %,27.0 kg,3.8 kg,67.6 %,
" 1 Jul 2025",
05:56,62.2 kg,1.1 kg,19.4,9.1 %,27.0 kg,3.7 kg,66.4 %,
" 27 Jun 2025",
05:56,61.1 kg,0.0 kg,19.1,8.4 %,26.7 kg,3.7 kg,66.9 %,
" 25 Jun 2025",
05:56,61.1 kg,0.1 kg,19.1,8.4 %,26.7 kg,3.7 kg,66.8 %,
" 24 Jun 2025",
05:59,61.0 kg,0.2 kg,19,9.8 %,26.6 kg,3.6 kg,65.8 %,
" 23 Jun 2025",
06:00,61.2 kg,0.2 kg,19.1,11.8 %,26.7 kg,3.5 kg,64.4 %,
" 22 Jun 2025",
06:16,61.4 kg,0.4 kg,19.2,11.8 %,26.8 kg,3.5 kg,64.4 %,
" 20 Jun 2025",
05:57,61.0 kg,0.4 kg,19,11.9 %,26.6 kg,3.5 kg,64.3 %,
" 19 Jun 2025",
05:26,60.6 kg,0.2 kg,18.9,12 %,26.6 kg,3.4 kg,64.3 %,
" 14 Jun 2025",
06:27,60.8 kg,0.6 kg,19,11.9 %,26.6 kg,3.4 kg,64.3 %,
" 13 Jun 2025",
05:25,61.4 kg,0.0 kg,19.2,11.8 %,26.8 kg,3.5 kg,64.4 %,
" 9 Jun 2025",
06:03,61.4 kg,0.5 kg,19.2,11.8 %,26.8 kg,3.5 kg,64.4 %,
" 8 Jun 2025",
06:48,60.9 kg,0.0 kg,19,--,--,--,--,
" 7 Jun 2025",
05:57,60.9 kg,1.5 kg,19,--,--,--,--,
" 4 Jun 2025",
05:59,62.4 kg,0.4 kg,19.5,--,--,--,--,
" 3 Jun 2025",
05:56,62.0 kg,0.3 kg,19.4,--,--,--,--,
" 2 Jun 2025",
05:51,62.3 kg,0.3 kg,19.4,--,--,--,--,
" 29 May 2025",
06:02,62.0 kg,0.2 kg,19.3,11.9 %,26.9 kg,3.5 kg,64.3 %,
" 27 May 2025",
06:00,62.2 kg,0.2 kg,19.4,12 %,27.0 kg,3.5 kg,64.2 %,
" 24 May 2025",
06:47,62.0 kg,0.6 kg,19.3,11.7 %,26.9 kg,3.5 kg,64.5 %,
" 23 May 2025",
06:00,62.6 kg,0.0 kg,19.5,12.3 %,27.1 kg,3.6 kg,64.1 %,
" 21 May 2025",
05:58,62.6 kg,0.2 kg,19.5,11.7 %,27.0 kg,3.6 kg,64.4 %,
" 20 May 2025",
05:51,62.8 kg,1.3 kg,19.6,11.4 %,27.1 kg,3.6 kg,64.7 %,
" 19 May 2025",
05:54,61.5 kg,0.4 kg,19.2,13.1 %,26.8 kg,3.4 kg,63.5 %,
" 18 May 2025",
07:15,61.9 kg,0.4 kg,19.3,12.5 %,26.9 kg,3.5 kg,63.9 %,
" 16 May 2025",
05:06,61.5 kg,0.3 kg,19.2,11.4 %,26.8 kg,3.5 kg,64.6 %,
" 15 May 2025",
05:56,61.8 kg,0.7 kg,19.3,9.6 %,26.9 kg,3.7 kg,66.0 %,
" 14 May 2025",
05:59,62.5 kg,0.6 kg,19.5,9.4 %,27.0 kg,3.7 kg,66.1 %,
" 12 May 2025",
05:10,61.9 kg,0.4 kg,19.3,11.7 %,26.9 kg,3.5 kg,64.5 %,
" 10 May 2025",
06:01,62.3 kg,0.2 kg,19.5,11 %,27.0 kg,3.6 kg,64.9 %,
" 9 May 2025",
05:02,62.1 kg,0.9 kg,19.4,11 %,26.9 kg,3.6 kg,65.0 %,
" 6 May 2025",
05:56,63.0 kg,1.2 kg,19.7,13.3 %,27.1 kg,3.5 kg,63.3 %,
" 5 May 2025",
05:02,61.8 kg,0.2 kg,19.3,13.6 %,26.9 kg,3.4 kg,63.1 %,
" 2 May 2025",
05:08,62.0 kg,0.0 kg,19.3,13.6 %,26.9 kg,3.4 kg,63.1 %,
" 1 May 2025",
05:57,62.0 kg,0.3 kg,19.3,13.7 %,26.9 kg,3.4 kg,63.0 %,
" 30 Apr 2025",
05:06,62.3 kg,0.3 kg,19.5,--,--,--,--,
" 29 Apr 2025",
06:03,62.6 kg,1.1 kg,19.5,13.6 %,27.1 kg,3.5 kg,63.1 %,
" 28 Apr 2025",
